"О1 – бизнес-система металлургического завода", "О2 – сотовая связь оператора мобильной связи", "О3 – мобильное приложение банка", "О4 – система управления общественным транспортом троллейбусной сети"
"К1.1 – ущерб жизни и здоровью (чел)", "К1.2а - нарушение обеспечения жизнедеятельности населения на данной территории", "К1.2б - нарушение условий для жизнедеятельности людей (тыс. человек)", "К1.3а - нарушение транспортного сообщения на данной территории", "К1.3б - недоступность транспортных услуг для людей (тыс. человек)", "К1.4 - недоступность услуг связи для абонентов (тыс. человек)", "К1.5а - максимальное время недоступности государственной услуги (часов)", "К1.5б - процент времени, в течение которого государственная услуга не может быть предоставлена", "К2.1 - невыполнение функций государственного органа", "К2.2 - нарушение международного договора РФ", "К3.1 - ущерб субъекту, оцениваемый в снижении уровня дохода (в процентах)", "К3.2 - ущерб бюджету РФ, оцениваемого в снижении отчислений в бюджет (в процентах)", "К3.3 - нарушение проведения клиентами операций (млн. ед.)", "К3.4 - нарушение проведения операций по передаче денежных средств в валюте РФ (трлн. рублей)", "К3.5 - нарушение проведения учетно-расчетных операций со среднедневным количеством ценных бумаг российских эмитентов (тыс. штук)", "К3.6 - нарушение проведения операций по выплатам в пенсионный фонд (млрд. рублей)", "К3.7 - нарушение проведения операций по выплатам страховки и инвестиций (млрд. рублей)", "К3.8 - нарушение выполнения заключенных кредитных договоров", "К4.1 - вред окружающей среде на данной территории", "К4.2 - количество людей, подверженных вредным воздействиям (тыс. чел.)", "К5.1 - нарушение работы пункта управления (ситуационного центра)", "К5.2а - Снижение объема продукции гособоронзаказа (в процентах)", "К5.2б - увеличение срока изготовления продукции (в процентах)", "К5.3 - недоступность в сфере обороны, безопасности и правопорядка в течение максимально допустимого времени"
1,0,0,2
3,2,0,3
3,2,0,0
0,0,0,3
0,0,0,3
0,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,3
1,2,1,2
0,3,1,3
0,0,3,0
0,0,2,0
3,0,3,0
0,0,3,0
0,0,2,0
2,0,0,0
3,0,0,0
0,0,0,0
3,0,0,0
1,0,0,0
0,0,0,0	
О1,О2,О3,О4
К1.1,К1.2а,К1.2б,К1.3а,К1.3б,К1.4,К1.5а,К1.5б,К2.1,К2.2,К3.1,К3.2,К3.3,К3.4,К3.5,К3.6,К3.7,К3.8,К4.1,К4.2,К5.1,К5.2а,К5.2б,К5.3
